# report v0.1.2 (May 25, 2023)
# Database: /mnt/isilon/w_gmi/blanked2lab/cumbof/MetaSBT-Databases/MetaSBT-Viruses
# Timestamp: 20240415
# Cluster	Lineage	MAGs	Reference genomes	Bloom Filter Density	Mean completeness	Mean contamination
MSBT6525	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Chuhaivirus|s__Chuhaivirus_simiae	0	1	0.037233	na	na
MSBT6522	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Aurodevirus|s__Aurodevirus_hiberniae	0	4	0.082423	na	na
MSBT6523	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Afonbuvirus|s__Afonbuvirus_coli	0	3	0.062897	na	na
MSBT7308	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Endlipuvirus|s__Endlipuvirus_intestinihominis	0	1	0.027065	na	na
MSBT7306	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Dabirmavirus|s__Dabirmavirus_hominis	0	1	0.02876	na	na
MSBT5702	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Whopevirus|s__Whopevirus_animalis	0	1	0.030649	na	na
MSBT6279	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Carjivirus|s__Carjivirus_communis	0	2	0.046349	na	na
MSBT6514	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Diorhovirus|s__Diorhovirus_copri	0	2	0.051092	na	na
MSBT6515	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Delmidovirus|s__Delmidovirus_copri	0	3	0.055804	na	na
MSBT6512	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Jahgtovirus|s__Jahgtovirus_gastrointestinalis	0	3	0.060273	na	na
MSBT7305	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Jahgtovirus|s__Jahgtovirus_intestinalis	0	1	0.033579	na	na
MSBT6516	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Fohxhuevirus|s__Fohxhuevirus_gastrointestinalis	0	1	0.031561	na	na
MSBT7304	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Drivevirus|s__Drivevirus_gastrointestinalis	0	1	0.03286	na	na
MSBT6519	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Hacihdavirus|s__Hacihdavirus_animalis	0	1	0.032066	na	na
MSBT5703	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Wotdevirus|s__Wotdevirus_murinus	0	1	0.03111	na	na
MSBT5701	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Steigviridae|g__Kahnovirus|s__Kahnovirus_copri	0	14	0.117746	na	na
MSBT3845	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Steigviridae|g__Akihdevirus|s__Akihdevirus_balticus	0	1	0.034963	na	na
MSBT6517	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Steigviridae|g__Pipoluvirus|s__Pipoluvirus_rarus	0	1	0.039873	na	na
MSBT7309	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Crevaviridae|g__Kingevirus|s__Kingevirus_communis	0	1	0.032763	na	na
MSBT7307	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Crevaviridae|g__Junduvirus|s__Junduvirus_communis	0	2	0.047288	na	na
MSBT6518	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Crevaviridae|g__Kahucivirus|s__Kahucivirus_intestinalis	0	1	0.026491	na	na
MSBT7299	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Soleiviridae|g__Eilatmyovirus|s__Eilatmyovirus_HATV2	0	1	0.029383	na	na
MSBT3833	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Halomagnusviridae|g__Hagravirus|s__Hagravirus_HGTV1	0	1	0.054999	na	na
MSBT7301	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Laminvirus|s__Laminvirus_HRTV25	0	1	0.029141	na	na
MSBT3769	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Mincapvirus|s__Haloarcula_virus_HCTV_15	0	6	0.050561	na	na
MSBT154	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Haloferacalesvirus_hv5	0	32	0.113163	na	na
MSBT7302	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Minorvirus|s__Minorvirus_HRTV27	0	1	0.025401	na	na
MSBT3757	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Druskaviridae|g__Tredecimvirus|s__Haloarcula_virus_HVTV_2	0	3	0.057386	na	na
MSBT3840	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Druskaviridae|g__Hacavirus|s__Hacavirus_HCTV1	0	2	0.05083	na	na
MSBT143	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Lymphocystivirus|s__Lymphocystis_disease_virus_1	0	4	0.054698	na	na
MSBT4862	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Lymphocystivirus|s__Lymphocystis_disease_virus_Sa	0	1	0.053464	na	na
MSBT474	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Ranavirus|s__Singapore_grouper_iridovirus	0	3	0.066696	na	na
MSBT201	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Ranavirus|s__Frog_virus_3	1	118	0.128751	na	na
MSBT5373	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Ranavirus|s__Santee_Cooper_ranavirus	0	5	0.048179	na	na
MSBT576	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Megalocytivirus|s__Infectious_spleen_and_kidney_necrosis_virus	0	34	0.116667	na	na
MSBT6042	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Decapodiridovirus|s__Decapod_iridescent_virus_1	0	1	0.048114	na	na
MSBT3996	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Chloriridovirus|s__Anopheles_minimus_iridovirus	0	1	0.056963	na	na
MSBT2591	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Ascoviridae|g__Ascovirus|s__Spodoptera_frugiperda_ascovirus_1a	0	1	0.056963	na	na
MSBT3133	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Ascoviridae|g__Toursvirus|s__Diadromus_pulchellus_toursvirus	0	1	0.050481	na	na
MSBT6533	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prasinovirus|s__Prasinovirus_sp__clade_1	0	1	0.042443	na	na
MSBT6532	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prasinovirus|s__Prasinovirus_sp__clade_0	0	1	0.009701	na	na
MSBT61	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	21	5692	0.259202	na	na
MSBT29	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Alphaentomopoxvirus|s__Anomala_cuprea_entomopoxvirus	0	6	0.099137	na	na
MSBT380	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Parapoxvirus|s__Bovine_papular_stomatitis_virus	0	6	0.096331	na	na
MSBT5075	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Parapoxvirus|s__Grey_sealpox_virus	0	1	0.053614	na	na
MSBT403	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Parapoxvirus|s__Orf_virus	0	26	0.113544	na	na
MSBT431	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Yatapoxvirus|s__Tanapox_virus	0	4	0.065199	na	na
MSBT294	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Leporipoxvirus|s__Myxoma_virus	0	119	0.105195	na	na
MSBT282	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Molluscipoxvirus|s__Molluscum_contagiosum_virus	0	48	0.150589	na	na
MSBT95	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Capripoxvirus|s__Lumpy_skin_disease_virus	1	110	0.111591	na	na
MSBT8365	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__MSBT8364|s__MSBT8365	1	0	0.006718	na	na
MSBT4099	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemykrogvirus|s__Gemykrogvirus_bovas1	0	1	0.001299	na	na
MSBT7186	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemykrogvirus|s__Gemykrogvirus_galga1	0	1	0.001293	na	na
MSBT7184	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemykrogvirus|s__Gemykrogvirus_galga3	0	1	0.001234	na	na
MSBT7183	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemykrogvirus|s__Gemykrogvirus_galga5	0	1	0.001304	na	na
MSBT7072	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemykrogvirus|s__Gemykrogvirus_apime1	0	1	0.001218	na	na
MSBT4169	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemykrogvirus|s__Gemykrogvirus_carib1	0	1	0.001304	na	na
MSBT4232	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemykrogvirus|s__Gemykrogvirus_sewopo1	0	1	0.001239	na	na
MSBT7188	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemykrogvirus|s__Gemykrogvirus_galga4	0	1	0.001261	na	na
MSBT4851	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemykrogvirus|s__Gemykrogvirus_galga2	0	2	0.001282	na	na
MSBT7099	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemyduguivirus|s__Gemyduguivirus_austo1	0	1	0.001266	na	na
MSBT7057	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemyduguivirus|s__Gemyduguivirus_macra1	0	1	0.001304	na	na
MSBT3997	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemyduguivirus|s__Gemyduguivirus_draga1	0	1	0.0014	na	na
MSBT7103	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemyduguivirus|s__Gemyduguivirus_hydro1	0	1	0.001299	na	na
MSBT7107	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemyduguivirus|s__Gemyduguivirus_hydro2	0	1	0.00132	na	na
MSBT5065	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemyduguivirus|s__Gemyduguivirus_bemta1	0	1	0.001293	na	na
MSBT7064	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemyduguivirus|s__Gemyduguivirus_merre1	0	1	0.001315	na	na
MSBT7221	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemyduguivirus|s__Gemyduguivirus_arteca1	0	1	0.001239	na	na
MSBT7105	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemyduguivirus|s__Gemyduguivirus_hydro3	0	1	0.001374	na	na
MSBT4491	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemyvongvirus|s__Gemyvongvirus_humas1	0	1	0.001331	na	na
MSBT7067	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemykroznavirus|s__Gemykroznavirus_poaspe1	0	1	0.00118	na	na
MSBT7108	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemykroznavirus|s__Gemykroznavirus_hydro1	0	1	0.001164	na	na
MSBT7062	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemykroznavirus|s__Gemykroznavirus_solas1	0	1	0.001175	na	na
MSBT7087	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemykroznavirus|s__Gemykroznavirus_haeme1	0	1	0.001164	na	na
MSBT4274	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemykroznavirus|s__Gemykroznavirus_rabas1	0	1	0.001256	na	na
MSBT7220	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemykroznavirus|s__Gemykroznavirus_zizan1	0	1	0.001197	na	na
MSBT4231	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemygorvirus|s__Gemygorvirus_sewopo1__clade_1	0	1	0.001304	na	na
MSBT7055	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemygorvirus|s__Gemygorvirus_poaspe1	0	1	0.001347	na	na
MSBT4595	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemygorvirus|s__Gemygorvirus_cania1	0	1	0.001127	na	na
MSBT7106	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemygorvirus|s__Gemygorvirus_hydro1	0	1	0.001288	na	na
MSBT4614	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemygorvirus|s__Gemygorvirus_malas1	0	3	0.001277	na	na
MSBT7151	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemygorvirus|s__Gemygorvirus_opunt1	0	1	0.001293	na	na
MSBT5360	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemygorvirus|s__Gemygorvirus_ptero1	0	2	0.00125	na	na
MSBT4291	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemygorvirus|s__Gemygorvirus_stara1	0	1	0.001309	na	na
MSBT4230	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemygorvirus|s__Gemygorvirus_sewopo1__clade_0	0	1	0.001239	na	na
MSBT4245	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemytondvirus|s__Gemytondvirus_ostri1	0	1	0.001202	na	na
MSBT4244	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_porci2	0	1	0.001282	na	na
MSBT7096	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_austro3	0	1	0.00125	na	na
MSBT5349	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_ptero1	0	2	0.001459	na	na
MSBT7063	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_sarpe1	0	1	0.001245	na	na
MSBT4648	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_HV_GcV1	0	1	0.001266	na	na
MSBT4287	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_sewopo2	0	1	0.001282	na	na
MSBT7059	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_legle1	0	1	0.001309	na	na
MSBT4612	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_bovas1	0	1	0.001191	na	na
MSBT4304	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_bromas1	0	1	0.001309	na	na
MSBT5353	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_ptero5	0	1	0.001379	na	na
MSBT5765	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_lepam3	0	1	0.00118	na	na
MSBT5354	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_ptero6	0	1	0.001223	na	na
MSBT5768	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_alces1	0	1	0.001352	na	na
MSBT4298	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_sewopo3	0	1	0.001266	na	na
MSBT4238	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Sewage_associated_gemycircularvirus_1	0	1	0.001395	na	na
MSBT4290	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_furse1	0	2	0.001299	na	na
MSBT5355	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_ptero7	0	1	0.001352	na	na
MSBT5358	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_ptero10	0	1	0.001288	na	na
MSBT4490	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_soybe1	0	1	0.001293	na	na
MSBT5352	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_ptero4	0	1	0.001309	na	na
MSBT7150	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_opunt1	0	1	0.001245	na	na
MSBT5777	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_sp__clade_0	0	2	0.001352	na	na
MSBT5783	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Murine_feces_associated_gemycircularvirus_1	0	1	0.001148	na	na
MSBT5095	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Giant_panda_associated_gemycircularvirus__clade_7	0	1	0.001331	na	na
MSBT4608	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_chicas2	0	1	0.001309	na	na
MSBT5766	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_alces2	0	1	0.001197	na	na
MSBT5764	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_denbre1	0	1	0.001256	na	na
MSBT5780	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_sp__clade_3	0	1	0.001857	na	na
MSBT5345	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_minio1	0	1	0.00125	na	na
MSBT5346	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_mosqi1	0	1	0.001282	na	na
MSBT4407	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_poass1	0	3	0.00139	na	na
MSBT5091	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Giant_panda_associated_gemycircularvirus__clade_3	0	1	0.001148	na	na
MSBT5779	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_sp__clade_2	0	1	0.001234	na	na
MSBT4601	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_sheas1__clade_1	0	1	0.001374	na	na
MSBT5359	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Genomoviridae|g__Gemycircularvirus|s__Gemycircularvirus_sewopo4	0	1	0.001256	na	na
