# get_ncbi_genomes v0.1.0 (Apr 20, 2023)
# timestamp 2023-04-25 14:19:39.359727
# id	type	taxonomy	excluded_from_refseq	url
GCA_900079285.1_ToLCNDV_genomic	mag	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Begomovirus|s__Tomato_leaf_curl_New_Delhi_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/079/285/GCA_900079285.1_ToLCNDV/GCA_900079285.1_ToLCNDV_genomic.fna.gz
GCA_900079295.1_ToLCNDV_genomic	mag	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Begomovirus|s__Tomato_leaf_curl_New_Delhi_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/079/295/GCA_900079295.1_ToLCNDV/GCA_900079295.1_ToLCNDV_genomic.fna.gz
GCA_900079305.1_ToLCNDV_genomic	mag	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Begomovirus|s__Tomato_leaf_curl_New_Delhi_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/079/305/GCA_900079305.1_ToLCNDV/GCA_900079305.1_ToLCNDV_genomic.fna.gz
GCA_900079325.1_ToLCNDV_genomic	mag	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Begomovirus|s__Tomato_leaf_curl_New_Delhi_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/079/325/GCA_900079325.1_ToLCNDV/GCA_900079325.1_ToLCNDV_genomic.fna.gz
GCA_023119585.1_ASM2311958v1_genomic	mag	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Ovine_mastadenovirus_A	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/119/585/GCA_023119585.1_ASM2311958v1/GCA_023119585.1_ASM2311958v1_genomic.fna.gz
GCA_023119595.1_ASM2311959v1_genomic	mag	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Ovine_mastadenovirus_A	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/119/595/GCA_023119595.1_ASM2311959v1/GCA_023119595.1_ASM2311959v1_genomic.fna.gz
GCA_023119605.1_ASM2311960v1_genomic	mag	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Ovine_mastadenovirus_A	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/119/605/GCA_023119605.1_ASM2311960v1/GCA_023119605.1_ASM2311960v1_genomic.fna.gz
GCA_023119615.1_ASM2311961v1_genomic	mag	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Ovine_mastadenovirus_A	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/119/615/GCA_023119615.1_ASM2311961v1/GCA_023119615.1_ASM2311961v1_genomic.fna.gz
GCA_006449035.1_ASM644903v1_genomic	mag	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Aviadenovirus|s__Fowl_aviadenovirus_D	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/449/035/GCA_006449035.1_ASM644903v1/GCA_006449035.1_ASM644903v1_genomic.fna.gz
GCA_007998855.1_ASM799885v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Ranavirus|s__Frog_virus_3	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/998/855/GCA_007998855.1_ASM799885v1/GCA_007998855.1_ASM799885v1_genomic.fna.gz
GCA_003047515.1_ASM304751v1_genomic	mag	k__Viruses|p__Artverviricota|c__Revtraviricetes|o__Blubervirales|f__Hepadnaviridae|g__Avihepadnavirus|s__Duck_hepatitis_B_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/047/515/GCA_003047515.1_ASM304751v1/GCA_003047515.1_ASM304751v1_genomic.fna.gz
GCA_009651155.1_ASM965115v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Parapoxvirus|s__Orf_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/651/155/GCA_009651155.1_ASM965115v1/GCA_009651155.1_ASM965115v1_genomic.fna.gz
GCA_000844965.1_ViralProj14488_genomic	mag	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Siadenovirus|s__Frog_siadenovirus_A	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/844/965/GCA_000844965.1_ViralProj14488/GCA_000844965.1_ViralProj14488_genomic.fna.gz
GCA_023119355.1_ASM2311935v1_genomic	mag	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Atadenovirus|s__Bovine_atadenovirus_D	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/119/355/GCA_023119355.1_ASM2311935v1/GCA_023119355.1_ASM2311935v1_genomic.fna.gz
GCA_023119365.1_ASM2311936v1_genomic	mag	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Atadenovirus|s__Bovine_atadenovirus_D	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/119/365/GCA_023119365.1_ASM2311936v1/GCA_023119365.1_ASM2311936v1_genomic.fna.gz
GCA_000845965.1_ViralProj14524_genomic	mag	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Siadenovirus|s__Turkey_siadenovirus_A	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/845/965/GCA_000845965.1_ViralProj14524/GCA_000845965.1_ViralProj14524_genomic.fna.gz
GCA_000856905.1_ViralProj15112_genomic	mag	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Siadenovirus|s__Turkey_siadenovirus_A	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/856/905/GCA_000856905.1_ViralProj15112/GCA_000856905.1_ViralProj15112_genomic.fna.gz
GCA_023120195.1_ASM2312019v1_genomic	mag	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Simian_mastadenovirus_A	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/120/195/GCA_023120195.1_ASM2312019v1/GCA_023120195.1_ASM2312019v1_genomic.fna.gz
GCA_023120215.1_ASM2312021v1_genomic	mag	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Simian_mastadenovirus_A	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/120/215/GCA_023120215.1_ASM2312021v1/GCA_023120215.1_ASM2312021v1_genomic.fna.gz
GCA_023120225.1_ASM2312022v1_genomic	mag	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Simian_mastadenovirus_A	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/120/225/GCA_023120225.1_ASM2312022v1/GCA_023120225.1_ASM2312022v1_genomic.fna.gz
GCA_023120245.1_ASM2312024v1_genomic	mag	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Simian_mastadenovirus_A	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/120/245/GCA_023120245.1_ASM2312024v1/GCA_023120245.1_ASM2312024v1_genomic.fna.gz
GCA_023120185.1_ASM2312018v1_genomic	mag	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Human_mastadenovirus_G	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/120/185/GCA_023120185.1_ASM2312018v1/GCA_023120185.1_ASM2312018v1_genomic.fna.gz
GCA_023120235.1_ASM2312023v1_genomic	mag	k__Viruses|p__Preplasmiviricota|c__Tectiliviricetes|o__Rowavirales|f__Adenoviridae|g__Mastadenovirus|s__Human_mastadenovirus_G	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/120/235/GCA_023120235.1_ASM2312023v1/GCA_023120235.1_ASM2312023v1_genomic.fna.gz
GCA_000847365.1_ViralProj14635_genomic	mag	k__Viruses|p__Lenarviricota|c__Leviviricetes|o__Norzivirales|f__Fiersviridae|g__Emesvirus|s__Emesvirus_japonicum	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/847/365/GCA_000847365.1_ViralProj14635/GCA_000847365.1_ViralProj14635_genomic.fna.gz
GCA_002755235.1_ASM275523v1_genomic	mag	k__Viruses|p__Lenarviricota|c__Leviviricetes|o__Norzivirales|f__Fiersviridae|g__Emesvirus|s__Emesvirus_japonicum	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/755/235/GCA_002755235.1_ASM275523v1/GCA_002755235.1_ASM275523v1_genomic.fna.gz
GCA_002921465.1_ASM292146v1_genomic	mag	k__Viruses|p__Lenarviricota|c__Leviviricetes|o__Norzivirales|f__Fiersviridae|g__Emesvirus|s__Emesvirus_japonicum	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/921/465/GCA_002921465.1_ASM292146v1/GCA_002921465.1_ASM292146v1_genomic.fna.gz
GCA_002921475.1_ASM292147v1_genomic	mag	k__Viruses|p__Lenarviricota|c__Leviviricetes|o__Norzivirales|f__Fiersviridae|g__Emesvirus|s__Emesvirus_japonicum	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/921/475/GCA_002921475.1_ASM292147v1/GCA_002921475.1_ASM292147v1_genomic.fna.gz
GCA_002921485.1_ASM292148v1_genomic	mag	k__Viruses|p__Lenarviricota|c__Leviviricetes|o__Norzivirales|f__Fiersviridae|g__Emesvirus|s__Emesvirus_japonicum	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/921/485/GCA_002921485.1_ASM292148v1/GCA_002921485.1_ASM292148v1_genomic.fna.gz
GCA_003971845.1_ASM397184v1_genomic	mag	k__Viruses|p__Kitrinoviricota|c__Magsaviricetes|o__Nodamuvirales|f__Nodaviridae|g__Alphanodavirus|s__Nodamura_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/971/845/GCA_003971845.1_ASM397184v1/GCA_003971845.1_ASM397184v1_genomic.fna.gz
GCA_003972285.1_ASM397228v1_genomic	mag	k__Viruses|p__Kitrinoviricota|c__Magsaviricetes|o__Nodamuvirales|f__Nodaviridae|g__Betanodavirus|s__Striped_jack_nervous_necrosis_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/972/285/GCA_003972285.1_ASM397228v1/GCA_003972285.1_ASM397228v1_genomic.fna.gz
GCA_009731655.1_ASM973165v1_genomic	mag	k__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Peribunyaviridae|g__Orthobunyavirus|s__Bunyamwera_orthobunyavirus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/731/655/GCA_009731655.1_ASM973165v1/GCA_009731655.1_ASM973165v1_genomic.fna.gz
GCA_009732295.1_ASM973229v1_genomic	mag	k__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Peribunyaviridae|g__Orthobunyavirus|s__Bunyamwera_orthobunyavirus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/732/295/GCA_009732295.1_ASM973229v1/GCA_009732295.1_ASM973229v1_genomic.fna.gz
GCA_000850225.1_ViralProj14710_genomic	mag	k__Viruses|p__Lenarviricota|c__Leviviricetes|o__Norzivirales|f__Duinviridae|g__Apeevirus|s__Apeevirus_quebecense	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/850/225/GCA_000850225.1_ViralProj14710/GCA_000850225.1_ViralProj14710_genomic.fna.gz
GCA_000850985.1_ViralMultiSegProj14851_genomic	mag	k__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Nairoviridae|g__Orthonairovirus|s__Dugbe_orthonairovirus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/850/985/GCA_000850985.1_ViralMultiSegProj14851/GCA_000850985.1_ViralMultiSegProj14851_genomic.fna.gz
GCA_003971945.1_ASM397194v1_genomic	mag	k__Viruses|p__Kitrinoviricota|c__Magsaviricetes|o__Nodamuvirales|f__Nodaviridae|g__Betanodavirus|s__Redspotted_grouper_nervous_necrosis_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/971/945/GCA_003971945.1_ASM397194v1/GCA_003971945.1_ASM397194v1_genomic.fna.gz
GCA_003972605.1_ASM397260v1_genomic	mag	k__Viruses|p__Kitrinoviricota|c__Magsaviricetes|o__Nodamuvirales|f__Nodaviridae|g__Betanodavirus|s__Redspotted_grouper_nervous_necrosis_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/972/605/GCA_003972605.1_ASM397260v1/GCA_003972605.1_ASM397260v1_genomic.fna.gz
GCA_003972625.1_ASM397262v1_genomic	mag	k__Viruses|p__Kitrinoviricota|c__Magsaviricetes|o__Nodamuvirales|f__Nodaviridae|g__Betanodavirus|s__Redspotted_grouper_nervous_necrosis_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/972/625/GCA_003972625.1_ASM397262v1/GCA_003972625.1_ASM397262v1_genomic.fna.gz
GCA_003972685.1_ASM397268v1_genomic	mag	k__Viruses|p__Kitrinoviricota|c__Magsaviricetes|o__Nodamuvirales|f__Nodaviridae|g__Betanodavirus|s__Redspotted_grouper_nervous_necrosis_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/972/685/GCA_003972685.1_ASM397268v1/GCA_003972685.1_ASM397268v1_genomic.fna.gz
GCA_002889555.1_ASM288955v1_genomic	mag	k__Viruses|p__Kitrinoviricota|c__Alsuviricetes|o__Martellivirales|f__Togaviridae|g__Alphavirus|s__Chikungunya_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/889/555/GCA_002889555.1_ASM288955v1/GCA_002889555.1_ASM288955v1_genomic.fna.gz
GCA_002829765.1_ASM282976v1_genomic	mag	k__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Hantaviridae|g__Orthohantavirus|s__Puumala_orthohantavirus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/829/765/GCA_002829765.1_ASM282976v1/GCA_002829765.1_ASM282976v1_genomic.fna.gz
GCA_000855925.1_ViralProj15076_genomic	mag	k__Viruses|p__Lenarviricota|c__Leviviricetes|o__Norzivirales|f__Fiersviridae|g__Pepevirus|s__Pepevirus_rubrum	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/855/925/GCA_000855925.1_ViralProj15076/GCA_000855925.1_ViralProj15076_genomic.fna.gz
GCA_006451115.1_ASM645111v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/451/115/GCA_006451115.1_ASM645111v1/GCA_006451115.1_ASM645111v1_genomic.fna.gz
GCA_006451155.1_ASM645115v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/451/155/GCA_006451155.1_ASM645115v1/GCA_006451155.1_ASM645115v1_genomic.fna.gz
GCA_006451195.1_ASM645119v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/451/195/GCA_006451195.1_ASM645119v1/GCA_006451195.1_ASM645119v1_genomic.fna.gz
GCA_006458645.1_ASM645864v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/458/645/GCA_006458645.1_ASM645864v1/GCA_006458645.1_ASM645864v1_genomic.fna.gz
GCA_007575525.1_ASM757552v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/575/525/GCA_007575525.1_ASM757552v1/GCA_007575525.1_ASM757552v1_genomic.fna.gz
GCA_007575705.1_ASM757570v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/575/705/GCA_007575705.1_ASM757570v1/GCA_007575705.1_ASM757570v1_genomic.fna.gz
GCA_011394995.1_ASM1139499v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/394/995/GCA_011394995.1_ASM1139499v1/GCA_011394995.1_ASM1139499v1_genomic.fna.gz
GCA_011395005.1_ASM1139500v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/395/005/GCA_011395005.1_ASM1139500v1/GCA_011395005.1_ASM1139500v1_genomic.fna.gz
GCA_011395015.1_ASM1139501v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/395/015/GCA_011395015.1_ASM1139501v1/GCA_011395015.1_ASM1139501v1_genomic.fna.gz
GCA_011395025.1_ASM1139502v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/395/025/GCA_011395025.1_ASM1139502v1/GCA_011395025.1_ASM1139502v1_genomic.fna.gz
GCA_013084925.1_ASM1308492v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/084/925/GCA_013084925.1_ASM1308492v1/GCA_013084925.1_ASM1308492v1_genomic.fna.gz
GCA_014621555.1_ASM1462155v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/621/555/GCA_014621555.1_ASM1462155v1/GCA_014621555.1_ASM1462155v1_genomic.fna.gz
GCA_017654145.1_monkeypox_virus_epu30_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/654/145/GCA_017654145.1_monkeypox_virus_epu30/GCA_017654145.1_monkeypox_virus_epu30_genomic.fna.gz
GCA_023543845.1_ASM2354384v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/543/845/GCA_023543845.1_ASM2354384v1/GCA_023543845.1_ASM2354384v1_genomic.fna.gz
GCA_023543885.1_ASM2354388v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/543/885/GCA_023543885.1_ASM2354388v1/GCA_023543885.1_ASM2354388v1_genomic.fna.gz
GCA_023543905.1_ASM2354390v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/543/905/GCA_023543905.1_ASM2354390v1/GCA_023543905.1_ASM2354390v1_genomic.fna.gz
GCA_023543915.1_ASM2354391v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/543/915/GCA_023543915.1_ASM2354391v1/GCA_023543915.1_ASM2354391v1_genomic.fna.gz
GCA_023571535.2_MPX_UK_2022_3_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/571/535/GCA_023571535.2_MPX_UK_2022_3/GCA_023571535.2_MPX_UK_2022_3_genomic.fna.gz
GCA_023590825.1_ASM2359082v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/590/825/GCA_023590825.1_ASM2359082v1/GCA_023590825.1_ASM2359082v1_genomic.fna.gz
GCA_023701625.1_ASM2370162v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/701/625/GCA_023701625.1_ASM2370162v1/GCA_023701625.1_ASM2370162v1_genomic.fna.gz
GCA_002824605.1_ASM282460v1_genomic	mag	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Begomovirus|s__Tomato_yellow_leaf_curl_Thailand_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/824/605/GCA_002824605.1_ASM282460v1/GCA_002824605.1_ASM282460v1_genomic.fna.gz
GCA_002824625.1_ASM282462v1_genomic	mag	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Begomovirus|s__Tomato_yellow_leaf_curl_Thailand_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/824/625/GCA_002824625.1_ASM282462v1/GCA_002824625.1_ASM282462v1_genomic.fna.gz
